id	name	element	description	imagepath
1	Eastern Water Temple	AIR	One of the two temples exclusively housing female airbenders.	src/res/image/Eastern Water Temple.png
2	Western Water Temple	AIR	One of the two temples exclusively housing female airbenders.	src/res/image/Western Water Temple.png
3	Southern Water Temple	AIR	One of the two temples exclusively housing male airbenders. Childhood home of Avatar Aang.	src/res/image/Southern Water Temple.png
4	Northern Water Temple	AIR	One of the two temples exclusively housing male airbenders.	src/res/image/Northern Water Temple.png
5	Foggy Swamp	WATER	Place for immigrants of the Southern Water Tribe with an extensive array of fauna and flora.	src/res/image/Foggy Swamp.png
6	Spirit Oasis	WATER	A verdant and lush garden located in a cave in the Northern Water Tribe's capital city at the North Pole.	src/res/image/Spirit Oasis.png
7	Northern Water Tribe	WATER	The largest division of its nation and is located on an island situated near the North Pole.	src/res/image/Northern Water Tribe.png
8	Southern Water Tribe	WATER	Minor division of the Water Tribe. Its people are scattered in tiny villages and settlements located on an island by the South Pole.	src/res/image/Southern Water Tribe.png
9	Si Wong Desert	EARTH	The largest desert in the world.	src/res/image/Si Wong Desert.png
10	Ba Sing Se	EARTH	The monolithic capital of the Earth Kingdom.	src/res/image/Ba Sing Se.png
11	Kyoshi Island	EARTH	"Famous as the birthplace of Avatar Kyoshi	 and as the home of the elite Kyoshi Warriors."	src/res/image/Kyoshi Island.png
12	Omashu	EARTH	"The second largest city in the Earth Kingdom and the capital of one of its provinces	 ruled by King Bumi."	src/res/image/Omashu.png
13	Fire Nation Capital	FIRE	The seat of the government for the Fire Nation	src/res/image/Fire Nation Capital.png
14	Boiling Rock	FIRE	A massive Fire Nation prison.	src/res/image/Boiling Rock.png
15	Sun Warriors' Ancient City	FIRE	Large, historic settlement located on an island north of the Fire Nation mainland.	src/res/image/Sun Warriors' Ancient City.png
16	Fire Fountain City	FIRE	A large industrial city located in the Fire Nation.	src/res/image/Fire Fountain City.png
